"Código Receita"|"Receita"|"Jan"|"Fev"|"Mar"|"Abr"|"Mai"|"Jun"|"Jul"|"Ago"|"Set"|"Out"|"Nov"|"Dez"|"Total"|"Tp_Linha"|"Rec_Id"
"1.1.2.1.50.0.1.0002"|"Taxa Fiscalizacao Vig. Sanitaria - Principal"|"38845.39"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"38845.39"|"2"|"1.1.2.1.50.0.1.0002"
"1.1.2.1.01.0.1.0010"|"Taxa Funcionamento - Comercio, Ind e Prest Servico"|"11003.46"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"11003.46"|"2"|"1.1.2.1.01.0.1.0010"
"1.1.2.1.01.0.3.0002"|"Taxa Inspecao, Contr e Fiscaliz D.a. At Monetaria"|"81641.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"81641.00"|"2"|"1.1.2.1.01.0.3.0002"
"1.1.2.1.01.0.4.0001"|"Taxa Inspecao, Contr e Fiscaliz D.a. Multa/juros"|"84614.11"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"84614.11"|"2"|"1.1.2.1.01.0.4.0001"
"1.1.2.1.01.0.3.0001"|"Taxa Inspecao, Controle e Fiscalizacao D.a. Princ."|"253048.30"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"253048.30"|"2"|"1.1.2.1.01.0.3.0001"
"1.1.2.1.01.0.2.0001"|"Taxa Inspecao, Controle e Fiscalizacao Multa/juros"|"567.63"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"567.63"|"2"|"1.1.2.1.01.0.2.0001"
"1.1.2.2.53.0.1.0001"|"Taxa Limpeza Publica Man Res Solidos-principal"|"1355737.54"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1355737.54"|"2"|"1.1.2.2.53.0.1.0001"
"1.1.2.2.01.0.3.0002"|"Taxa Prest de Servicos Geral - DIV At At Monetaria"|"47397.80"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"47397.80"|"2"|"1.1.2.2.01.0.3.0002"
"1.1.2.2.01.0.4.0001"|"Taxa Prest de Servicos Geral - DIV At Multas/juros"|"53634.57"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"53634.57"|"2"|"1.1.2.2.01.0.4.0001"
"1.1.2.2.01.0.3.0001"|"Taxa Prest de Servicos Geral - Divida Ativa Princ."|"281480.49"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"281480.49"|"2"|"1.1.2.2.01.0.3.0001"
